airline,country,latitude,longitude,incidents_1985-2014,fatal incidents_1985-2014,fatalities_1985-2014,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
Aerolineas Argentinas,Argentina,-36.3,-60,7,0,0,6,0,0,1,0,0
Qantas*,Australia,-35.15,149.08,6,0,0,1,0,0,5,0,0
Austrian Airlines,Austria,48.12,16.22,2,0,0,1,0,0,1,0,0
Gulf Air,Bahrain,26.1,50.3,4,1,143,1,0,0,3,1,143
TAM,Brazil,-15.47,-47.55,15,5,286,8,3,98,7,2,188
Air Canada,Canada,45.27,-75.42,4,0,0,2,0,0,2,0,0
LAN Airlines,Chile,-33.24,-70.4,3,2,21,3,2,21,0,0,0
China Airlines,China,39.55,116.2,14,7,760,12,6,535,2,1,225
Xiamen Airlines,China,39.55,116.2,11,1,82,9,1,82,2,0,0
Avianca,Colombia,4.34,-74,5,3,323,5,3,323,0,0,0
Egyptair,Egypt,30.01,31.14,12,4,296,8,3,282,4,1,14
TACA,El Salvador,13.4,-89.1,4,2,6,3,1,3,1,1,3
Ethiopian Airlines,Ethiopia,9.02,38.42,30,7,259,25,5,167,5,2,92
Finnair,Finland,60.15,25.03,1,0,0,1,0,0,0,0,0
Air France,France,48.5,2.2,20,6,416,14,4,79,6,2,337
Condor,Germany,52.3,13.25,2,1,16,2,1,16,0,0,0
Lufthansa*,Germany,52.3,13.25,9,1,2,6,1,2,3,0,0
Cathay Pacific*,Hong Kong,22.32,114.17,2,0,0,0,0,0,2,0,0
Air India*,India,28.37,77.13,6,2,487,2,1,329,4,1,158
Garuda Indonesia,Indonesia,-6.09,106.49,14,5,282,10,3,260,4,2,22
Aer Lingus,Ireland,53.21,-6.15,2,0,0,2,0,0,0,0,0
El Al,Israel,31.47,35.12,2,1,4,1,1,4,1,0,0
Alitalia,Italy,41.54,12.29,11,2,50,7,2,50,4,0,0
All Nippon Airways,Japan,18,-76.5,10,1,1,3,1,1,7,0,0
Japan Airlines,Japan,35.68,139.77,3,1,520,3,1,520,0,0,0
Kenya Airways,Kenya,-1.17,36.48,4,2,283,2,0,0,2,2,283
Malaysia Airlines,Malaysia,3.09,101.41,6,3,571,3,1,34,3,2,537
Aeromexico*,Mexico,19.2,-99.1,8,1,64,3,1,64,5,0,0
Royal Air Maroc,Morocco,33.97,-6.85,8,3,51,5,3,51,3,0,0
KLM*,Netherlands,52.23,4.54,8,1,3,7,1,3,1,0,0
Air New Zealand*,New Zealand,-41.19,174.46,8,1,7,3,0,0,5,1,7
Pakistan International,Pakistan,33.4,73.1,18,5,280,8,3,234,10,2,46
COPA,Panama,9,-79.25,3,1,47,3,1,47,0,0,0
Philippine Airlines,Philippines,14.4,121.03,9,5,75,7,4,74,2,1,1
TAP - Air Portugal,Portugal,38.42,-9.1,0,0,0,0,0,0,0,0,0
Aeroflot*,Russia,55.45,37.35,82,15,216,76,14,128,6,1,88
Saudi Arabian,Saudi Arabia,24.41,46.42,18,2,313,7,2,313,11,0,0
Singapore Airlines,Singapore,1.35,103.82,4,3,89,2,2,6,2,1,83
South African,South Africa,-25.44,28.12,3,1,159,2,1,159,1,0,0
Korean Air,South Korea,37.57,126.98,13,5,425,12,5,425,1,0,0
Iberia,Spain,40.25,-3.45,9,1,148,4,1,148,5,0,0
Sri Lankan / AirLanka,Sri Lanka,6.93,79.86,6,1,14,2,1,14,4,0,0
SAS*,Sweden,59.2,18.03,11,1,110,5,0,0,6,1,110
SWISS*,Switzerland,46.57,7.28,5,1,229,2,1,229,3,0,0
Thai Airways,Thailand,13.45,100.35,10,5,309,8,4,308,2,1,1
Turkish Airlines,Turkey,39.57,32.54,16,5,148,8,3,64,8,2,84
British Airways*,UK,51.36,-0.05,10,0,0,4,0,0,6,0,0
Alaska Airlines*,USA,39.91,-77.02,10,1,88,5,0,0,5,1,88
American*,USA,39.91,-77.02,38,8,517,21,5,101,17,3,416
Delta / Northwest*,USA,39.91,-77.02,48,14,458,24,12,407,24,2,51
Hawaiian Airlines,USA,39.91,-77.02,1,0,0,0,0,0,1,0,0
Southwest Airlines,USA,39.91,-77.02,9,0,0,1,0,0,8,0,0
United / Continental*,USA,39.91,-77.02,33,10,428,19,8,319,14,2,109
US Airways / America West*,USA,39.91,-77.02,27,9,247,16,7,224,11,2,23
Virgin Atlantic,USA,39.91,-77.02,1,0,0,1,0,0,0,0,0
Vietnam Airlines,Vietnam,21.05,105.55,8,3,171,7,3,171,1,0,0
