year,quarter,domestic,latin_america,atlantic,pacific,international,total,infl_adj,total_adj
2000,1,23262183,1639679,2690229,2240370,370524,30202987,1.5,45.3
2000,2,25573067,1626743,3419032,2432840,390007,33441689,1.5,50.2
2000,3,25313087,1776933,3796968,2801208,370491,34058686,1.5,51.1
2000,4,24751473,1761932,3113734,2545414,372305,32544858,1.5,48.8
2001,1,23620312,1848448,2913460,2319491,409925,31111636,1.47,45.7
2001,2,23987256,1695829,3461580,2313437,343148,31801250,1.47,46.7
2001,3,20950846,1607118,3354092,2337637,175204,28424897,1.47,41.8
2001,4,17961577,1382343,2355216,1822516,367535,23889187,1.47,35.1
2002,1,18933402,1570487,2234540,1990620,363648,25092698,1.44,36.1
2002,2,20577509,1491241,2945816,2254430,332809,27601805,1.44,39.7
2002,3,19991294,1524572,3224111,2511105,349376,27600459,1.44,39.7
2002,4,19785273,1498818,2670009,2488801,386765,26829665,1.44,38.6
2003,1,20692159,1685703,2542765,2244552,494873,27660051,1.41,39
2003,2,22066941,1549992,2971953,1972968,420780,28982633,1.41,40.9
2003,3,23166224,1587724,3291695,2319427,416950,30782019,1.41,43.4
2003,4,22944772,1577789,2920730,2439233,460788,30343311,1.41,42.8
2004,1,23886067,1913157,2856520,2457368,520600,31633711,1.36,43
2004,2,25861558,1760412,3574109,2643537,458638,34298255,1.36,46.6
2004,3,25701945,1820052,3857882,2857825,483372,34721076,1.36,47.2
2004,4,25452940,1870593,3346180,2809887,527642,34007242,1.36,46.2
2005,1,25688272,2228071,3237584,2809042,718114,34681084,1.31,45.4
2005,2,28418255,2094849,4081050,3139866,668959,38402979,1.31,50.3
2005,3,29046508,2150520,4520600,3381518,707787,39806934,1.31,52.1
2005,4,28705027,2145615,3725338,3287353,790074,38653407,1.31,50.6
2006,1,28396127,2579082,3537831,3141367,731363,38385770,1.29,49.5
2006,2,31743405,2577504,4838065,3412294,652246,43223514,1.29,55.8
2006,3,31076705,2564685,5200377,3699996,737731,43279494,1.29,55.8
2006,4,29690689,2579610,4175807,3430858,766061,40643024,1.29,52.4
2007,1,28814565,3051828,4096981,3205345,776734,39945453,1.25,49.9
2007,2,32017353,2895956,5516584,3486202,772220,44688315,1.25,55.9
2007,3,32291692,2895966,6032640,3917460,817438,45955196,1.25,57.4
2007,4,31379368,2960088,5066114,3737421,964460,44107452,1.25,55.1
