,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nominal, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3
,Albania,"311,321.42","359,025.46","325,849.14","353,856.61","315,138.27","370,523.88","348,624.07","361,018.41","318,751.01","383,681.08","360,196.47","371,677.95","332,995.45","385,337.81","366,016.81","388,129.06","351,316.68","410,173.12","385,208.04","403,947.65","374,717.67","431,961.66","408,940.88","420,094.42","384,734.56","446,499.15","426,243.12","420,953.68","373,314.99","387,247.98",...
,Argentina,"722,245.20","846,952.70","859,136.60","919,973.90","979,412.20","1,175,657.40","1,171,375.80","1,252,641.00","1,273,173.40","1,487,869.70","1,555,432.70","1,638,035.10","1,751,661.30","2,103,639.10","2,131,907.20","2,240,952.00","2,310,219.40","2,639,552.10","2,779,105.60","2,931,351.40","3,059,794.10","3,508,513.60","3,779,530.90","4,194,883.50","4,353,028.30","5,227,421.30","5,571,813.80","6,294,986.50","6,197,808.30","5,903,582.40",...
,"Armenia, Rep. of","784,166.20","978,205.10","1,363,072.30","1,430,194.60","814,938.40","1,030,592.90","1,443,501.10","1,539,593.90","879,565.70","1,105,248.02","1,523,902.70","1,534,916.80","893,634.20","1,132,260.60","1,525,628.40","1,515,770.30","971,041.00","1,212,700.80","1,587,405.40","1,793,346.10","1,115,563.90","1,362,703.90","1,687,018.40","1,851,749.00","1,245,326.60","1,489,641.70","1,835,351.00","1,998,711.50","1,268,440.20","1,270,978.00",...
,Australia,"369,422.00","390,707.00","392,506.00","415,620.00","386,766.00","403,637.00","402,046.00","421,531.00","392,276.00","408,748.00","411,311.00","428,108.00","398,637.00","422,658.00","424,744.00","457,430.00","431,004.00","450,449.00","452,978.00","473,857.00","448,446.00","474,599.00","476,713.00","500,857.00","471,362.00","499,667.00","503,307.00","520,729.00","487,118.00","470,445.00",...
,Austria,"77,118.61","80,679.28","81,143.58","84,968.73","78,975.26","83,235.72","83,365.83","87,569.25","81,812.39","85,599.74","86,296.66","90,560.45","86,018.24","89,349.79","88,843.76","93,396.16","88,503.19","92,031.92","91,967.79","96,838.37","92,971.20","95,316.63","95,348.88","101,725.18","96,074.38","98,844.76","98,974.17","103,681.98","93,823.79","86,150.26","95,614.42"
